player_id,matches_count,wins_count,easy_wins_count,defeated_count,easy_defeated_count,tied,score
DA1X9864,24.0,9.0,4.0,15.0,9.0,0.0,0.375
SZ0S2637,22.0,14.0,10.0,8.0,6.0,0.0,0.6363636363636364
QX0H6977,20.0,11.0,7.0,8.0,7.0,1.0,0.5666666666666667
BK3W3327,14.0,11.0,6.0,3.0,3.0,0.0,0.7857142857142857
EG5I9716,22.0,12.0,9.0,10.0,7.0,0.0,0.5454545454545454
FD2Y5227,23.0,15.0,10.0,8.0,6.0,0.0,0.6521739130434783
AE2A5525,22.0,11.0,7.0,11.0,7.0,0.0,0.5
RR3I5473,22.0,9.0,7.0,13.0,8.0,0.0,0.4090909090909091
IH1E6684,23.0,13.0,6.0,10.0,4.0,0.0,0.5652173913043478
NI1W4446,23.0,14.0,7.0,9.0,5.0,0.0,0.6086956521739131
XS7N7546,23.0,12.0,8.0,11.0,6.0,0.0,0.5217391304347826
DI5Z8931,20.0,12.0,10.0,7.0,6.0,1.0,0.6166666666666667
HF9F3543,22.0,9.0,6.0,13.0,8.0,0.0,0.4090909090909091
WJ9P5318,15.0,10.0,7.0,5.0,3.0,0.0,0.6666666666666666
WH7U8492,21.0,18.0,7.0,3.0,1.0,0.0,0.8571428571428571
HR7Z5459,20.0,9.0,8.0,10.0,5.0,1.0,0.4666666666666667
ED3H6944,21.0,9.0,6.0,12.0,5.0,0.0,0.42857142857142855
UE7S7212,22.0,9.0,7.0,13.0,10.0,0.0,0.4090909090909091
GT3R2739,21.0,8.0,4.0,13.0,5.0,0.0,0.38095238095238093
YT3V4686,22.0,9.0,5.0,13.0,9.0,0.0,0.4090909090909091
QZ2P9717,17.0,9.0,6.0,8.0,5.0,0.0,0.5294117647058824
MR3C7483,12.0,5.0,3.0,7.0,6.0,0.0,0.4166666666666667
PN5R2595,22.0,14.0,9.0,8.0,5.0,0.0,0.6363636363636364
UT9L7396,26.0,16.0,11.0,10.0,5.0,0.0,0.6153846153846154
EH1B2775,26.0,14.0,9.0,12.0,10.0,0.0,0.5384615384615384
LK1V6934,20.0,9.0,4.0,11.0,8.0,0.0,0.45
MG9O7713,23.0,9.0,3.0,14.0,10.0,0.0,0.391304347826087
WW3P4814,21.0,10.0,8.0,11.0,9.0,0.0,0.47619047619047616
QI5A5188,18.0,10.0,5.0,8.0,7.0,0.0,0.5555555555555556
CF0K6668,23.0,12.0,4.0,11.0,9.0,0.0,0.5217391304347826
HY4U1185,16.0,8.0,6.0,8.0,3.0,0.0,0.5
